X Y Z
0 0 0
1483.12 0 0
5932.48 0.296624 0
13348.1 1.48312 0
23729.9 4.15274 0
37078 8.89872 0
53392.3 16.3143 0
72672.9 26.9928 0
94919.7 41.5274 0
120133 60.5113 0
148312 84.5379 0
179458 114.2 0
213569 150.092 0
250647 192.806 0
290692 242.935 0
333702 301.074 0
379679 367.814 0
428622 443.75 0
480531 529.475 0
535406 625.581 0
593248 732.663 0
654056 851.313 0
717830 982.125 0
784570 1125.69 0
854277 1282.61 0
926950 1453.46 0
1.00259e+06 1638.85 0
1.08119e+06 1839.37 0
1.16277e+06 2055.61 0
1.2473e+06 2288.17 0
1.33481e+06 2537.63 0
1.42528e+06 2804.6 0
1.51871e+06 3089.65 0
1.61512e+06 3393.4 0
1.71449e+06 3716.43 0
1.81682e+06 4059.33 0
1.92212e+06 4422.7 0
2.03039e+06 4807.13 0
2.14162e+06 5213.21 0
2.25583e+06 5641.54 0
2.37299e+06 6092.71 0
2.49312e+06 6567.32 0
2.61622e+06 7065.95 0
2.74229e+06 7589.21 0
2.87132e+06 8137.67 0
3.00332e+06 8711.95 0
3.13828e+06 9312.62 0
3.27621e+06 9940.29 0
3.41711e+06 10595.5 0
3.56097e+06 11279 0
3.7078e+06 11991.2 0
3.85759e+06 12732.8 0
4.01036e+06 13504.3 0
4.16608e+06 14306.4 0
4.32478e+06 15139.6 0
4.48644e+06 16004.6 0
4.65106e+06 16901.9 0
4.81866e+06 17832.2 0
4.98921e+06 18795.9 0
5.16274e+06 19793.8 0
5.33923e+06 20826.4 0
5.51869e+06 21894.3 0
5.70111e+06 22998.1 0
5.8865e+06 24138.3 0
6.07486e+06 25315.7 0
6.26618e+06 26530.7 0
6.46047e+06 27784 0
6.65772e+06 29076.1 0
6.85794e+06 30407.7 0
7.06113e+06 31779.4 0
7.26728e+06 33191.7 0
7.4764e+06 34645.2 0
7.68849e+06 36140.6 0
7.90354e+06 37678.3 0
8.12156e+06 39259.1 0
8.34254e+06 40883.5 0
8.5665e+06 42552.1 0
8.79341e+06 44265.5 0
9.0233e+06 46024.3 0
9.25615e+06 47829.1 0
9.49196e+06 49680.4 0
9.73074e+06 51578.9 0
9.97249e+06 53525.2 0
1.02172e+07 55519.8 0
1.04649e+07 57563.4 0
1.07155e+07 59656.5 0
1.09691e+07 61799.8 0
1.12257e+07 63993.8 0
1.14853e+07 66239.1 0
1.17478e+07 68536.3 0
1.20133e+07 70886.1 0
1.22817e+07 73288.9 0
1.25531e+07 75745.4 0
1.28275e+07 78256.3 0
1.31048e+07 80822 0
1.33851e+07 83443.2 0
1.36684e+07 86120.4 0
1.39547e+07 88854.4 0
1.42439e+07 91645.6 0
1.4536e+07 94494.6 0
1.48312e+07 97402.1 0
1.51293e+07 100369 0
1.54304e+07 103395 0
1.57344e+07 106481 0
1.60414e+07 109628 0
1.63514e+07 112837 0
1.66643e+07 116108 0
1.69802e+07 119441 0
1.72991e+07 122837 0
1.76209e+07 126297 0
1.79457e+07 129822 0
1.82735e+07 133412 0
1.86042e+07 137067 0
1.89379e+07 140788 0
1.92746e+07 144576 0
1.96142e+07 148432 0
1.99568e+07 152355 0
2.03024e+07 156347 0
2.06509e+07 160408 0
2.10024e+07 164539 0
2.13569e+07 168740 0
2.17143e+07 173012 0
2.20747e+07 177355 0
2.24381e+07 181771 0
2.28044e+07 186259 0
2.31737e+07 190821 0
2.3546e+07 195456 0
2.39212e+07 200166 0
2.42994e+07 204951 0
2.46806e+07 209812 0
2.50647e+07 214748 0
2.54518e+07 219762 0
2.58418e+07 224853 0
2.62349e+07 230023 0
2.66308e+07 235271 0
2.70298e+07 240598 0
2.74317e+07 246005 0
2.78366e+07 251492 0
2.82445e+07 257060 0
2.86553e+07 262710 0
2.90691e+07 268442 0
2.94858e+07 274257 0
2.99056e+07 280156 0
3.03283e+07 286138 0
3.07539e+07 292205 0
3.11825e+07 298357 0
3.16141e+07 304594 0
3.20487e+07 310919 0
3.24862e+07 317330 0
3.29267e+07 323828 0
3.33701e+07 330415 0
3.38165e+07 337091 0
3.42659e+07 343855 0
3.47183e+07 350710 0
3.51736e+07 357655 0
3.56319e+07 364692 0
3.60931e+07 371820 0
3.65573e+07 379040 0
3.70245e+07 386353 0
3.74947e+07 393760 0
3.79678e+07 401261 0
3.84438e+07 408856 0
3.89229e+07 416547 0
3.94049e+07 424333 0
3.98899e+07 432216 0
4.03778e+07 440197 0
4.08687e+07 448274 0
4.13626e+07 456450 0
4.18594e+07 464725 0
4.23593e+07 473099 0
4.2862e+07 481573 0
4.33678e+07 490148 0
4.38765e+07 498824 0
4.43881e+07 507602 0
4.49028e+07 516482 0
4.54204e+07 525465 0
4.5941e+07 534552 0
4.64645e+07 543743 0
4.6991e+07 553039 0
4.75205e+07 562440 0
4.80529e+07 571947 0
4.85883e+07 581561 0
4.91267e+07 591281 0
4.9668e+07 601110 0
5.02123e+07 611047 0
5.07596e+07 621092 0
5.13098e+07 631248 0
5.1863e+07 641513 0
5.24192e+07 651889 0
5.29783e+07 662377 0
5.35404e+07 672976 0
5.41055e+07 683688 0
5.46735e+07 694513 0
5.52445e+07 705451 0
5.58185e+07 716504 0
5.63954e+07 727672 0
5.69753e+07 738955 0
5.75582e+07 750355 0
5.8144e+07 761871 0
5.87328e+07 773504 0
5.93245e+07 785255 0
5.99193e+07 797124 0
6.0517e+07 809113 0
6.11176e+07 821221 0
6.17212e+07 833450 0
6.23278e+07 845799 0
6.29374e+07 858270 0
6.35499e+07 870862 0
6.41654e+07 883577 0
6.47838e+07 896416 0
6.54053e+07 909378 0
6.60297e+07 922465 0
6.6657e+07 935677 0
6.72873e+07 949014 0
6.79206e+07 962477 0
6.85569e+07 976067 0
6.91961e+07 989785 0
6.98383e+07 1.00363e+06 0
7.04834e+07 1.0176e+06 0
7.11315e+07 1.03171e+06 0
7.17826e+07 1.04594e+06 0
7.24367e+07 1.0603e+06 0
7.30937e+07 1.0748e+06 0
7.37537e+07 1.08942e+06 0
7.44166e+07 1.10418e+06 0
7.50825e+07 1.11907e+06 0
7.57514e+07 1.1341e+06 0
7.64232e+07 1.14925e+06 0
7.70981e+07 1.16455e+06 0
7.77758e+07 1.17997e+06 0
7.84566e+07 1.19554e+06 0
7.91403e+07 1.21124e+06 0
7.9827e+07 1.22707e+06 0
8.05166e+07 1.24305e+06 0
8.12092e+07 1.25916e+06 0
8.19048e+07 1.27541e+06 0
8.26033e+07 1.2918e+06 0
8.33048e+07 1.30833e+06 0
8.40093e+07 1.325e+06 0
8.47168e+07 1.34181e+06 0
8.54272e+07 1.35876e+06 0
8.61405e+07 1.37586e+06 0
8.68569e+07 1.39309e+06 0
8.75762e+07 1.41048e+06 0
8.82984e+07 1.428e+06 0
8.90237e+07 1.44567e+06 0
8.97519e+07 1.46349e+06 0
9.0483e+07 1.48145e+06 0
9.12172e+07 1.49955e+06 0
9.19543e+07 1.51781e+06 0
9.26943e+07 1.53621e+06 0
9.34374e+07 1.55476e+06 0
9.41834e+07 1.57346e+06 0
9.49323e+07 1.59231e+06 0
9.56843e+07 1.61131e+06 0
9.64392e+07 1.63045e+06 0
9.7197e+07 1.64975e+06 0
9.79579e+07 1.66921e+06 0
9.87217e+07 1.68881e+06 0
9.94884e+07 1.70857e+06 0
1.00258e+08 1.72848e+06 0
1.01031e+08 1.74854e+06 0
1.01806e+08 1.76876e+06 0
1.02585e+08 1.78914e+06 0
1.03367e+08 1.80967e+06 0
1.04151e+08 1.83036e+06 0
1.04939e+08 1.8512e+06 0
1.05729e+08 1.8722e+06 0
1.06523e+08 1.89336e+06 0
1.07319e+08 1.91468e+06 0
1.08119e+08 1.93616e+06 0
1.08921e+08 1.9578e+06 0
1.09726e+08 1.9796e+06 0
1.10535e+08 2.00156e+06 0
1.11346e+08 2.02368e+06 0
1.1216e+08 2.04597e+06 0
1.12977e+08 2.06842e+06 0
1.13797e+08 2.09103e+06 0
1.1462e+08 2.11381e+06 0
1.15447e+08 2.13675e+06 0
1.16276e+08 2.15985e+06 0
1.17108e+08 2.18313e+06 0
1.17943e+08 2.20657e+06 0
1.18781e+08 2.23017e+06 0
1.19621e+08 2.25395e+06 0
1.20465e+08 2.27789e+06 0
1.21312e+08 2.302e+06 0
1.22162e+08 2.32628e+06 0
1.23015e+08 2.35074e+06 0
