X Y Z
-1.5e+11 0 0
-1.5e+11 -3e+07 0
-1.5e+11 -6e+07 0
-1.5e+11 -9e+07 0
-1.5e+11 -1.2e+08 0
-1.5e+11 -1.5e+08 0
-1.5e+11 -1.8e+08 0
-1.5e+11 -2.1e+08 0
-1.5e+11 -2.4e+08 0
-1.5e+11 -2.7e+08 0
-1.5e+11 -3e+08 0
-1.5e+11 -3.3e+08 0
-1.5e+11 -3.6e+08 0
-1.49999e+11 -3.9e+08 0
-1.49999e+11 -4.19999e+08 0
-1.49999e+11 -4.49999e+08 0
-1.49999e+11 -4.79999e+08 0
-1.49999e+11 -5.09999e+08 0
-1.49999e+11 -5.39999e+08 0
-1.49999e+11 -5.69999e+08 0
-1.49999e+11 -5.99998e+08 0
-1.49999e+11 -6.29998e+08 0
-1.49998e+11 -6.59998e+08 0
-1.49998e+11 -6.89997e+08 0
-1.49998e+11 -7.19997e+08 0
-1.49998e+11 -7.49997e+08 0
-1.49998e+11 -7.79996e+08 0
-1.49998e+11 -8.09996e+08 0
-1.49997e+11 -8.39995e+08 0
-1.49997e+11 -8.69995e+08 0
-1.49997e+11 -8.99994e+08 0
-1.49997e+11 -9.29994e+08 0
-1.49997e+11 -9.59993e+08 0
-1.49996e+11 -9.89992e+08 0
-1.49996e+11 -1.01999e+09 0
-1.49996e+11 -1.04999e+09 0
-1.49996e+11 -1.07999e+09 0
-1.49995e+11 -1.10999e+09 0
-1.49995e+11 -1.13999e+09 0
-1.49995e+11 -1.16999e+09 0
-1.49995e+11 -1.19999e+09 0
-1.49994e+11 -1.22999e+09 0
-1.49994e+11 -1.25998e+09 0
-1.49994e+11 -1.28998e+09 0
-1.49994e+11 -1.31998e+09 0
-1.49993e+11 -1.34998e+09 0
-1.49993e+11 -1.37998e+09 0
-1.49993e+11 -1.40998e+09 0
-1.49992e+11 -1.43998e+09 0
-1.49992e+11 -1.46997e+09 0
-1.49992e+11 -1.49997e+09 0
-1.49991e+11 -1.52997e+09 0
-1.49991e+11 -1.55997e+09 0
-1.49991e+11 -1.58997e+09 0
-1.4999e+11 -1.61997e+09 0
-1.4999e+11 -1.64996e+09 0
-1.4999e+11 -1.67996e+09 0
-1.49989e+11 -1.70996e+09 0
-1.49989e+11 -1.73996e+09 0
-1.49988e+11 -1.76996e+09 0
-1.49988e+11 -1.79995e+09 0
-1.49988e+11 -1.82995e+09 0
-1.49987e+11 -1.85995e+09 0
-1.49987e+11 -1.88995e+09 0
-1.49986e+11 -1.91994e+09 0
-1.49986e+11 -1.94994e+09 0
-1.49985e+11 -1.97994e+09 0
-1.49985e+11 -2.00993e+09 0
-1.49985e+11 -2.03993e+09 0
-1.49984e+11 -2.06993e+09 0
-1.49984e+11 -2.09993e+09 0
-1.49983e+11 -2.12992e+09 0
-1.49983e+11 -2.15992e+09 0
-1.49982e+11 -2.18992e+09 0
-1.49982e+11 -2.21991e+09 0
-1.49981e+11 -2.24991e+09 0
-1.49981e+11 -2.2799e+09 0
-1.4998e+11 -2.3099e+09 0
-1.4998e+11 -2.3399e+09 0
-1.49979e+11 -2.36989e+09 0
-1.49979e+11 -2.39989e+09 0
-1.49978e+11 -2.42988e+09 0
-1.49978e+11 -2.45988e+09 0
-1.49977e+11 -2.48988e+09 0
-1.49976e+11 -2.51987e+09 0
-1.49976e+11 -2.54987e+09 0
-1.49975e+11 -2.57986e+09 0
-1.49975e+11 -2.60986e+09 0
-1.49974e+11 -2.63985e+09 0
-1.49974e+11 -2.66985e+09 0
-1.49973e+11 -2.69984e+09 0
-1.49972e+11 -2.72984e+09 0
-1.49972e+11 -2.75983e+09 0
-1.49971e+11 -2.78982e+09 0
-1.49971e+11 -2.81982e+09 0
-1.4997e+11 -2.84981e+09 0
-1.49969e+11 -2.87981e+09 0
-1.49969e+11 -2.9098e+09 0
-1.49968e+11 -2.93979e+09 0
-1.49967e+11 -2.96979e+09 0
-1.49967e+11 -2.99978e+09 0
-1.49966e+11 -3.02977e+09 0
-1.49965e+11 -3.05977e+09 0
-1.49965e+11 -3.08976e+09 0
-1.49964e+11 -3.11975e+09 0
-1.49963e+11 -3.14975e+09 0
-1.49963e+11 -3.17974e+09 0
-1.49962e+11 -3.20973e+09 0
-1.49961e+11 -3.23972e+09 0
-1.4996e+11 -3.26972e+09 0
-1.4996e+11 -3.29971e+09 0
-1.49959e+11 -3.3297e+09 0
-1.49958e+11 -3.35969e+09 0
-1.49957e+11 -3.38968e+09 0
-1.49957e+11 -3.41967e+09 0
-1.49956e+11 -3.44967e+09 0
-1.49955e+11 -3.47966e+09 0
-1.49954e+11 -3.50965e+09 0
-1.49954e+11 -3.53964e+09 0
-1.49953e+11 -3.56963e+09 0
-1.49952e+11 -3.59962e+09 0
-1.49951e+11 -3.62961e+09 0
-1.4995e+11 -3.6596e+09 0
-1.4995e+11 -3.68959e+09 0
-1.49949e+11 -3.71958e+09 0
-1.49948e+11 -3.74957e+09 0
-1.49947e+11 -3.77956e+09 0
-1.49946e+11 -3.80955e+09 0
-1.49945e+11 -3.83954e+09 0
-1.49944e+11 -3.86953e+09 0
-1.49944e+11 -3.89952e+09 0
-1.49943e+11 -3.92951e+09 0
-1.49942e+11 -3.95949e+09 0
-1.49941e+11 -3.98948e+09 0
-1.4994e+11 -4.01947e+09 0
-1.49939e+11 -4.04946e+09 0
-1.49938e+11 -4.07945e+09 0
-1.49937e+11 -4.10943e+09 0
-1.49936e+11 -4.13942e+09 0
-1.49936e+11 -4.16941e+09 0
-1.49935e+11 -4.1994e+09 0
