X Y Z
0 -2e+11 0
5.00032e+06 -1.99995e+11 0
1.00013e+07 -1.9999e+11 0
1.50029e+07 -1.99985e+11 0
2.00051e+07 -1.9998e+11 0
2.5008e+07 -1.99975e+11 0
3.00115e+07 -1.9997e+11 0
3.50157e+07 -1.99965e+11 0
4.00205e+07 -1.9996e+11 0
4.50259e+07 -1.99955e+11 0
5.0032e+07 -1.9995e+11 0
5.50387e+07 -1.99945e+11 0
6.00461e+07 -1.9994e+11 0
6.50541e+07 -1.99935e+11 0
7.00627e+07 -1.9993e+11 0
7.5072e+07 -1.99925e+11 0
8.00819e+07 -1.99919e+11 0
8.50924e+07 -1.99914e+11 0
9.01036e+07 -1.99909e+11 0
9.51154e+07 -1.99904e+11 0
1.00128e+08 -1.99899e+11 0
1.05141e+08 -1.99894e+11 0
1.10155e+08 -1.99889e+11 0
1.15169e+08 -1.99884e+11 0
1.20184e+08 -1.99879e+11 0
1.252e+08 -1.99874e+11 0
1.30216e+08 -1.99869e+11 0
1.35233e+08 -1.99863e+11 0
1.4025e+08 -1.99858e+11 0
1.45269e+08 -1.99853e+11 0
1.50287e+08 -1.99848e+11 0
1.55307e+08 -1.99843e+11 0
1.60327e+08 -1.99838e+11 0
1.65348e+08 -1.99833e+11 0
1.70369e+08 -1.99828e+11 0
1.75391e+08 -1.99822e+11 0
1.80413e+08 -1.99817e+11 0
1.85437e+08 -1.99812e+11 0
1.90461e+08 -1.99807e+11 0
1.95485e+08 -1.99802e+11 0
2.0051e+08 -1.99797e+11 0
2.05536e+08 -1.99791e+11 0
2.10562e+08 -1.99786e+11 0
2.15589e+08 -1.99781e+11 0
2.20617e+08 -1.99776e+11 0
2.25645e+08 -1.99771e+11 0
2.30674e+08 -1.99766e+11 0
2.35704e+08 -1.9976e+11 0
2.40734e+08 -1.99755e+11 0
2.45765e+08 -1.9975e+11 0
2.50796e+08 -1.99745e+11 0
2.55828e+08 -1.9974e+11 0
2.60861e+08 -1.99734e+11 0
2.65894e+08 -1.99729e+11 0
2.70928e+08 -1.99724e+11 0
2.75963e+08 -1.99719e+11 0
2.80998e+08 -1.99713e+11 0
2.86034e+08 -1.99708e+11 0
2.9107e+08 -1.99703e+11 0
2.96107e+08 -1.99698e+11 0
3.01145e+08 -1.99692e+11 0
3.06183e+08 -1.99687e+11 0
3.11222e+08 -1.99682e+11 0
3.16262e+08 -1.99677e+11 0
3.21302e+08 -1.99671e+11 0
3.26343e+08 -1.99666e+11 0
3.31385e+08 -1.99661e+11 0
3.36427e+08 -1.99656e+11 0
3.41469e+08 -1.9965e+11 0
3.46513e+08 -1.99645e+11 0
3.51557e+08 -1.9964e+11 0
3.56601e+08 -1.99634e+11 0
3.61646e+08 -1.99629e+11 0
3.66692e+08 -1.99624e+11 0
3.71739e+08 -1.99619e+11 0
3.76786e+08 -1.99613e+11 0
3.81834e+08 -1.99608e+11 0
3.86882e+08 -1.99603e+11 0
